Entity Type,Operating Status,Out of Service Date,Legal Name,DBA Name,Physical Address,Phone,Mailing Address,USDOT Number,State Carrier ID Number,MC/MX/FF Number(s),DUNS Number,Power Units,Drivers,MCS-150 Form Date,MCS-150 Mileage (Year)
CARRIER,ACTIVE,None,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,FMCSA TECHNOLOGY DIVISION,"1200 NEW JERSEY AVENUE SE
            WASHINGTON, DC   20590",(202) 555-5555,"1200 NEW JERSEY AVENUE SE
          WASHINGTON, DC   20590",1,,,--,4,3,10/20/2023,"3,000 (2020)"
CARRIER,NOT AUTHORIZED,None,GLEN DYER,DYERS TRUCKING SERVICE,"1000 SOUTH LAWRENCE ST
            MOBILE, AL   36603",(334) 433-4999,"P O BOX 2504
          MOBILE, AL   36652",44,,MC-146894,--,3,3,04/04/2006,
CARRIER,ACTIVE,None,CHEROKEE CULVERT COMPANY INC,,"3426 MASSEYVILLE RD
            MACON, GA   31217",(478) 743-9393,"P O BOX 4926
          MACON, GA   31208-4926",64,,,42-968-503,6,2,02/04/2022,"118,304 (2021)"
CARRIER,ACTIVE,None,CAIN AM BICKLEY LLC,,"218 CAMELLIA BLVD
            MARSHALLVILLE, GA   31057",(478) 967-2291,"P O BOX 91
          MARSHALLVILLE, GA   31057",111,,,80-517-99,6,5,02/13/2023,"220,000 (2021)"
CARRIER/SHIPPER,ACTIVE,None,BIOLAB INC,,"1735 NORTH BROWN ROAD
            LAWRENCEVILLE, GA   30043",(678) 502-4200,"P O BOX 300002
          LAWRENCEVILLE, GA   30049",113,,,--,8,6,03/31/2009,"50,000 (2008)"
CARRIER,ACTIVE,None,BLUE BIRD BODY COMPANY,,"402 BLUE BIRD BLVD
            FT VALLEY, GA   31030",(478) 822-2740,"402 BLUE BIRD BLVD
          FORT VALLEY, GA   31030",119,,,13-078-4226,10,35,10/16/2023,"20,000 (2023)"
CARRIER,AUTHORIZED FOR Property,None,CWT FARMS INTERNATIONAL INC,CWT FARMS,"1180 AIRPORT PARKWAY
            GAINESVILLE, GA   30501",(770) 532-3181,"PO BOX 1396
          GAINESVILLE, GA   30503",174,,MC-187460,33-720-988,10,10,01/10/2023,"550,000 (2022)"
CARRIER/BROKER,AUTHORIZED FOR Property,None,TRANSPORTATION SERVICES INC,,"18165 TELEGRAPH ROAD
            ROMULUS, MI   48174",(734) 333-9497,"18165 S TELEGRAPH ROAD
          ROMULUS, MI   48174",198,,MC-147039,99-656-621,583,768,11/15/2023,"55,130,710 (2023)"
CARRIER,AUTHORIZED FOR Property,None,C & K TRANSFER LLC,,"127 EAST ST S
            GRINNELL, IA   50112",(641) 236-3418,"127 EAST ST S
          GRINNELL, IA   50112",206,,MC-540568,53-142-16,9,7,05/09/2022,"745,000 (2021)"
CARRIER/SHIPPER/CARGO TANK/BROKER,AUTHORIZED FOR Property,None,ALASKA WEST EXPRESS INC,LYNDEN OILFIELD SERVICES,"1095 SANDURI STREET
            FAIRBANKS, AK   99701",(907) 452-4355,"1095 SANDURI STREET
          FAIRBANKS, AK   99701",222,,MC-118445,99-033-268,122,121,02/25/2022,"4,747,748 (2021)"
CARRIER,AUTHORIZED FOR Property,None,SENECA FOODS LLC,,"25 N 6TH STREET
            PAYETTE, ID   83661",(208) 739-4406,"PO BOX 460
          PAYETTE, ID   83661",227,,MC-150529,22-073-22,1,2,05/31/2023,"406,605 (2022)"
